,review,type
10,"Супер телефон Телефон покупался на замену Iphone 6S в виду того что батарея со временем стала держать совсем плохо и приходилось подзаряжать в течении рабочего дня разочек так точно. Если сравнивать с 6S, то изображение осталось такого же отличного качества, только теперь экран больше, ""монобровь"" абсолютно не напрягает, к ней быстро привыкаешь. Сканер отпечатка пальца заменили датчиком лица, работает на ура. Проверял с просоня, в очках, запухший и т.д., каждый раз срабатывает =) Про плавность работы в принципе рассказывать нечего, она идеальна, что тут еoе добавить. Батарея в телефоне держит нааамного дольше, заряжать можно раз в 1.5 суток, если конечно не просматривать онлайн видео или играть по 3-4 часа. Отдельного внимания заслуживает камера. Где то писали что она признана лучшей камерой в 2018, это правда, снимки просто обалденные, портретный режим впечатляет. Поддерживает беспроводную зарядку, уже было проверено - очень удобно, заряжается с такой же скоростью как и через кабель. Один минус конечно что пришлось покупать беспроводные наушники, т.к. комплектные совсем не очень. Дизайн, экран, батарея, плавность работы, камера Нет 3.5 мм под наушники",/img/svg/review-smile-4.svg
11,"отличная модель, очень понравилось Хороший телефон для тех кто хочет попробовать iPhone в 2020 или 21 году. Ну или у которых его вообще никогда не было) Face id, хорошая начинка, не глючит, не лагает, оптимизация, всплывающие иконки все он это блокирует. Если выйдет iOS 17 или как она там будет называться.... То он будет ее ещё поддерживать. Когда я покупал айфон 5 за 30к (на тот момент был самым последним) я его не менял 7 лет, не ронял так часто, спустя только 6 лет он стал лагать и тормозить, да и вообще экран выгорел от перегрева (не весь а только точка с размером круга мелкого) и вот я купил вот этот телефон. Планирую не менять его 10 лет. рамки, большое face id, ну к этому можно привыкнуть) а так их нету, ну можно вписать 2 сим карты, если честно я никогда не пользовался ими. А вообще у нас где то можно купить такой который будет с 2 сим картами",/img/svg/review-smile-4.svg
12,"отличная модель, очень понравилось Осталась очень довольна покупкой этого телефона. Внешний вид, аккумулятор, камера. Нет.",/img/svg/review-smile-4.svg
13,"Рекомендую брать Классный смарт, все прекрасно. Держит 1-2 дня легко, как мой предыдущий смарт на андроиде. Оптимизация шикарная, камера топ. Единственный недостаток - невозможность скачать пиратки игр из интернета, так как стоят они довольно много в магазине приложений. Но я мало играю, так что для меня это не минус.На самом деле думаю, что стоило накопить немного больше и купить Xs, так как он приятнее лежит в руке (я не люблю лопаты), хотя Xr тоже не огромный аппарат Все Отсутствуют",/img/svg/review-smile-4.svg
14,"Надежный как и любой IPhone Это мой первый айфон. Перешел с дешевого андроида. Первую неделю изучал и приспосабливался к новой операционке но в лайтовом режиме. Все интуитивно понятно. Все новые технологии: жестовое управление, FaceID, для меня как для новенького на Эппл - норма. Смартфон работает плавно и быстро. По поводу батареи, которую так все хвалят - восторгов не испытываю, батарея как батарея, на простом андроиде держала так же. На всякий случай поотключал все что можно и мне не нужно для ее оптимизации. Мне нравится толщина и внешний вид XR, так как в прошлом очень нравился дизайн 4-ки. Возможно металлический корпус это практичнее, но стеклянный все таки для меня предпочтительнее. ИМХО Экран яркий, пикселей не видно. Дизайн, скорость реакции, камера. Отсутствие ""пиратского"" контента.",/img/svg/review-smile-4.svg
15,"Отличная модель, очень понравилось Всё отлично! Перешёл с 5S. Заряд держит долго. Камера отличная. Люди спрашивают пользоваться не трудно? -нет, ПО всё таже, с 5s ни чё не поменялось. Телефон мощный, всё летает) ну если бы за 50к руб то отличный телефон. Всё (Дизайн, экран, батарея, плавность работы, камера и т.д.), кроме цены, брал за 63к руб. Нет джека",/img/svg/review-smile-4.svg
16,"рекомендую брать если нехотите что то дорогое и главное ОН СТОИТ СВОИХ ДЕНЕГ!!! - крутейшая камера за свои деньги - мощный процессор A12 Bionic (Xiaomi курит в сторонке) - НЕЛЬЗЯ ПОДЦЕПИТЬ ВИРУСЫ!!!! Это очень важно это наверное главный плюс системы IOS с инета нечего не скачать, если уж ты любишь халявные игры с вирусами то тебе нужен самсунг, я купил гта сан андрерас за 529 руб. и вообще не жалею потомучто игра стоит своих денег!!!!!!!!!! ЗАПОМНИТЕ ЭТО КТО ЛЮБИТ ХАЛЯВНЫЕ ИГРЫ - Есть возможность платить по Apple Pay это удобней чем и БЕЗОПАСНЕЙ (ПОТОМУ ЧТО ПЕРЕД ОПЛАТОЙ ТЕЛЕФОН ПОПРОСИТ ПОКАЗАТЬ СВОЕ ЛИЦО) Google Pay - хороший экран -очень хороший Face ID работает с 1-ого раза всегда даже в темноте -IP67 ну тут и так все понятно - крутой дизайн) -Совместимость со слуховыми аппаратами ( в инте прочитал там это есть) - тупая siri )))) Алиса от яндекса по умней будет)",/img/svg/review-smile-4.svg
17,"отличная модель, очень понравилось Не рекомендую ставить телефон на ночь на зарядку быстро испортите аккамулятор Пользуюсь iPhone XR 15 дней. За пол месяца у меня не разу не провисало как в играх так и в повседневном использовании. Я пользуюсь смартфоном по 6-8 часов в день и батареи мне хватает на весь день и вечер. Камера хорошая но селфи камера не удивила, что я не могу сказать про основную снимает очень хорошо фото четкие, стабилизация при видео очень хорошая, ещё перед покупкой меня знакомые пугали разрешением экрана. Но после полу месяца использования я не замечал никакой зернистости. В руке лежит хорошо не выскальзывает и по габаритам не большой как многие думают. Так что советую к покупке данный девайс не разочарует Нет разъёма под наушники",/img/svg/review-smile-4.svg
18,"телефон не плох но не для людей которым жалко денег. Очень сомнительная модель получилась у APPLE. Он изначально позиционировался как бюджетник но своих денег как и все продукты эпл не стоит. Плавность анимаций, дикая стабилизация, крутая камера хоть и мало мегапикселей, рамки одинаковые что снизу что сверху, прекрасный задник и батарея. Цена! Ему как минимум 28000-34000к.",/img/svg/review-smile-2.svg
19,"Android во всём лучше. Не советую к покупке, лучше взять oneplus или pixel, лучше будут во всём!!! Хороший звук Нет быстрой зарядки Приятный корпус Ужасный экран Посредственная камера Убогая iOS Чёлка.. Ужасный nfc (при холоде вырубается практически)",/img/svg/review-smile-1.svg
20,"Супер - Рекомендую! Очень хорошая альтернатива для другого бюджетника от Оппо - А5с. Много схожего но и много улучшений, улучшили экран, прошивку, дизайн тоже стал лучше. Работает тоже очень стабильно! С техникой от Оппо сталкиваюсь уже не в первый раз - доволен! Отличный за свою цену! Без олеофобного покрытия",/img/svg/review-smile-4.svg
21,"Лучший смартфон за эти деньги. Купила данную модель бабушке на подарок, долго выбирала между Samsung-Xiaomi. Придя в магазин, парень-консультант рассказывает мне про фирму OPPO, у меня были сомнения по поводу данной фирмы. Решила что риск это благородные дело, купила и осталось очень довольной. Отпечаток пальцы в комплекте чехол и плёнку. Нет.",/img/svg/review-smile-4.svg
22,"Советую бюджетный вариант Купила ребёнку, сначала думаю чтобы не жалко было выкинуть, но как показала практика, очень даже хороший выбор за свою цену, хорошая камера, достаточно громкий звук, ребенку понравилось Нет лишних обновлений Нет",/img/svg/review-smile-4.svg
23,"отличная модель, очень понравилось Купила, чтобы общаться с сыном который за границей, пока не разобралась до конца что телефон может, но всё нравится Яркий экран, хороший звук не нашла",/img/svg/review-smile-4.svg
24,"отличная модель, очень понравилось За свои деньги ТОП!!!! Телефон покупался просто для связи и он оправдал ожидания Очень хорошо держит батарею и что не мало важно ловит хорошо сеть Очень доволен приобретением Нет",/img/svg/review-smile-4.svg
25,"Хороший телефон Брали, как подарок для мамы и хочу сказать, он стоит своих денег. Мама быстро во всем разобралась. Зарядку телефон держит долго. Звук громкий, хорошо слышно звонок. Работает отлично, не глючит. Мама довольна, а мы так тем более. Звук, скорость работы Не выявили",/img/svg/review-smile-4.svg
26,Топ за свои деньги Телефон класс стандофф2 тянет замете НА МАКСИМАЛЬНЫХ НАСТРОЙКАХ!!! Но есть и просадки до 30-20 ооочень редко за свои деньги топ сам пользуюсь ну слов нету топ в ДНС он стоил 8тасяч ровно... В Курске. Тянет игры не очень требовательные хороший телефон компактный в комплекте идёт защитное стекло уже населенное но поменять на что то более прочное можно + чехол прозрачный силиконовый а задняя крышка заглядишся! Я хз их пока что нет но иногда отпечаток не распознаёт,/img/svg/review-smile-4.svg
27,"отличная модель, очень понравилось Брала как обычную звонилку для работы, а теперь не могу с него вылезти. Заворожил яркий экран, хороший звук и камера без шумов Хорошо держит батарея и классный дизайн особенно задней части Пфф, нет",/img/svg/review-smile-4.svg
28,"Отличный телефон за свои деньги, не только для себя а и родителей Очень понравилась модель, так как для родителей много и не нужно. Они только начали осваивать технику, а яркий дисплей порадовал невозможно. Звук тоже громкий, всегда слышно как звонит телефон в другой комнате. И крепкая батарея, которая хорошо держит. Огонь Батарея, экран Ничего",/img/svg/review-smile-4.svg
29,"очень рекомендую До этого телефона был асус, хуавей, лджи. В каждом были свои приколы. Асус тихий динамик, хуавей слабый интернет, лджи не нравилась оболочка. В оппо громкий динамик, чистый громкий разговорный динамик, очень яркий экран, не слепнет на солнце, связь в разы сильнее хуавея, отличная батарея. купил сначала жене a5s, через месяц себе а12. всё отсутствие индикатора событий. не критично.",/img/svg/review-smile-4.svg
30,"Отличный смартфон за копейки.правда сейчас подорожал. За такие деньги (брал за 10500) лучше нет. Работает шустро,АКБ на 5000 хватает на два дня.если втыкать целый день до до позднего вечера.стильный дизайн.пленка наклеена с завода.хорошее стерео.чехол в комплекте.хорошая оболочка колор.460 снеп нормальный процессор + ещё видеоускорителе адрено 610 и быстрая память.до этого был 439 и адрено 505. Так день и ночь разница. 90гц не везде работает.",/img/svg/review-smile-4.svg
31,"отличная модель, очень понравилось Быстрый, удобно держать в руке, много удобных функций, очень здорово снимает видео и фото, чистый звук из динамиков, быстрая зарядка, функциональность. Телефон вообще не греется, как ни нагружай его. Звук Нету",/img/svg/review-smile-4.svg
32,"отличная модель, очень понравилось Подыскивал бюджетный, но хороший телефон для мамы. Но так сложилось что пока выбирал и день рождение отца нагрянуло. Принял решение подарить им по телефону. Потому что менять нужно что маме что отцу. Обратил внимание на бренд орро. Для меня это но новый бренд, а на рынке они оказывается давно, так ещё и зарекомендовать себя успели отлично. Принял в магазин, понравился мне А53, цена качество, то что и хотел. Телефон с нормальной 3х модульной камерой, 13+2+2 мп, селфи камера 8мп. Очень важно что емкий аккумулятор, 5000 мАч, на самом деле очень долго держит заряд, дольше суток. Есть возможность поставить две симки, это актуально для папы, звонки по работе. Очень даже шустрый, 4/64 памяти, 8ный процессор. Ну и все это за свежий телефон. С актуальным дизайном. Родители остались довольны Экран и батарея Нету",/img/svg/review-smile-4.svg
33,"отличная модель, очень понравилось Выбирала себе новый смартфон, прежде пользовалась Самсунгом. Знакомый посоветовал фирму ОРРО. Рассмотрела несколько вариантов. Остановила свой выбор на этой модели. Понравилось, что есть стерео звук, не плохая камера и очень широкий функционал. Соотношение цены и качества отличное! Покупкой довольна. Звук, батарея Нет",/img/svg/review-smile-4.svg
34,"За эти деньги можно выбрать получше Пользуюсь не долго но есть с чем сравнивать ,камера плохая,батарея хоть и 5000 ампер,но мне ее хватает на пол дня, Хороши стереозвук,громкий Камера,батарея,",/img/svg/review-smile-2.svg
35,"отличная модель, очень понравилось Користуюсь досить не довго, але всім задоволений, автономність і швидкість роботи, на рівні, також камера непогана, швидка зарядка є і nfc, все що мені потрібно, за свої гроші дуже класний вибір, рекомендую Батарея, швидкість роботи Не виявив",/img/svg/review-smile-4.svg
36,"отличная модель, очень понравилось Придбав собі цей чудовий апарат, так як мене влаштовує така ціна за свої характеристики. Потужна батарейка, яскравий і чіткий екран, 64гб памяті, добряче вкомплектований з коробки, супер. звучання, екран, комплектація все влаштовує",/img/svg/review-smile-4.svg
37,"отличная модель, очень понравилось Хороший телефон, я полностью довольна! Для меня очень важно наличие нфс и хорошая камера. Экран яркий, камера радует. Остальное лично для меня значения не имеет НФС, камера, батарея не нашла",/img/svg/review-smile-4.svg
38,"Купил ребёнку очень доволен , советую всем Этот телефон полностью себя оправдал за свою стоимость. Я очень доволен советую. Очень долго держит батарею Хороший стерео звук Нет",/img/svg/review-smile-4.svg
39,"отличная модель, очень понравилось Телефон дійсно гарно вразив ,швидкий ,гарний екран,камера ,стеріо звук,+ гарна комплектація ,крутий дизайн.Доступна ціна Автономність, екран 90 Грц, стеріо звук Поки не виявила",/img/svg/review-smile-4.svg
40,"отличная модель, очень понравилось Наружный вид дорогой, стильный и современный, есть минимальные рамки, но это не страшно, капелька красивая, сзади матовая крышка, угла закруглённые, всё как надо для удобного использования - тонкий, не тяжелый. Интерфейсы под рукой, органы управления на стандартных местах, кроме сканера отпечатка пальца, расположен он на дисплее, а не сзади, оно и лучше. Привык уже. Дисплей с высоким разрешением - 2400 × 1080 точек. Картинка чёткая, цветная, смотреть что-то любо, и играть в удовольствие. Камера бомбические. Режим двойной съёмки меня покорил. Быстрая зарядка. 1 час и телефон с 0 заряжается до 100 %. Много памяти. Нормальный комплект.Соотношение стоимости и качества. Для людей. Производителю привет и спасибо, за положительные эмоции, и хорошие впечатления ) Не нашел ничего такого",/img/svg/review-smile-4.svg
41,"отличная модель, очень понравилось Если бы не долбаная реклама в интернете, мне не удалось бы его купить )) Спасибо рекламе. Рад что взял. Отличается и качеством нормальным, и стильным наружным видом.. хорошо смотрится матовая поверхность, да и отпечатки хоть не так остаются как на глянцевой. Поразительно производительный, и даже можно назвать универсальным, потому что здесь предусмотрено всё, много предустановленных приложений, функций, которые только помогают в повседневной жизни. Моментально заряжается, и оглянуться не успеваешь. Сел поел, а тот уже зарядился ) Мощно. Камеры хороши - претензий нет. нет",/img/svg/review-smile-4.svg
42,"отличная модель, очень понравилось Дизайн космос.Много памяти.. и слот ещё есть. Проц Snapdragon 720G - мощь во всём обличии. В режиме многозадачности работает как родной, помогают ещё и 8 Гб оперативной памяти. Много функций, оболочка на эти дела богата, а помимо этого ещё и красива, как утренний восход. Такая же насыщенная и сочная. Черная тема.NFC.Игровой режим.Двойная съёмка с использованием 2 камер. USB Type-C2 СИМКИ.Дискомфорта при использовании не ощущаю. Всё чётко для этого продумано. Производитель молодец ! И спасибо что не дорого. Нет",/img/svg/review-smile-4.svg
43,"отличная модель, очень понравилось Автономия, USB Type-C, быстрая зарядка на 33 Вт. Дизайн. Мозги. Чехол и плёнка были, только плёнкой пользуюсь. Дисплей пушка, AMOLED. разрешение высокое, никакой пиксилизации не видно, чёткая картинка. Лучше всего ощущается в играх, и в просмотре качественного видео контента. Поддерживает NFC.Камера снимает идеально. Селфи камера тоже норм. Сам по себе удобных размеров, не слишком большой и не мал. И по оболочке всё ок, более удобная. нет",/img/svg/review-smile-4.svg
44,"отличная модель, очень понравилось нравится пользоваться Качество корпуса меня весьма порадовало, несмотря на то что пластиковый никаких зазоров или подобных проблем нет, всё отлично. и элементы управления на корпусе расположены привычно, легко дотягиваюсь до кнопок. Кстати тут есть возмодность поставить две sim-карты и карту памяти, они выбирать или или как в в большинстве устройств. сеть ловит смартфон отлично, даже далеко за пределами гордая связи не теряю и слышно меня хорошо. в режиме многозадачности смартфон показал себя хорошо, доволен покупкой. нет",/img/svg/review-smile-4.svg
45,"отличная модель, очень понравилось Сканер отпечатка пальца на дисплее. Автономия, разъём Type-C для зарядки. Хороший комплект, есть наушники, и норм оказались. Дисплей большой, без рамок. Цвета богатые, сочные. Мощность, игры поддерживает можно сказать все, ещё не было такой, которая бы глючила. Заряжается быстро, 33 Вт зарядка. Основная камера шикарная, осн модуль на 64 Мп, ночной режим, следящий автофокус, и снимает чётко, реалистично. Настроек камеры при этом много, хватает разных фильтров, и режимов. С проблемами никакими не сталкивался пока. не",/img/svg/review-smile-4.svg
46,"отличная модель, очень понравилось понравился - Тонкий дизайн- Качественный амолед дисплей, с замечательной цветопередачей- Основная камера качественная, и функциональная. Фишки ее, это режим ночной съёмки, ночью бесподобно, и следящий автофокус. - Нормальная производительность. Процессор мощный, много памяти, такие игра как PUBG Mobile, BLACK DESERT MOBILE, идут на максималках, без глюков и прочей ерунды. Плюс к этому есть игровой режим, ресурсы автоматом пускаются все на игру. - Батарея всего на 4000 мАч, хотелось конечно же больше.. но это дело компенсируется быстрой зарядкой. нет",/img/svg/review-smile-4.svg
