,new_or_used,двигатель,комплектация,коробка,кузов,налог,онлайн-показ,описание,привод,цвет,цена,1 владелец,vin,владельцы,год выпуска,дтп ненайдены,обмен,пробег,птс,руль,состояние,таможня,госномер,владение,продаёт собственник,гарантия,на гарантии,проверенный автомобиль,медленно теряет вцене
52,used,1.6 л / 105л.с. / бензин,,механическая,седан,2625₽ / год,,все вопросы по телефону,передний,белый,455000₽,,xw8**************,2владельца,2013,,,140000км,оригинал,левый,не требует ремонта,растаможен,******|77,,,,,,
53,used,1.6 л / 105л.с. / бензин,,автоматическая,седан,2625₽ / год,,"всех приветствую. продаю собственный автомобиль. я второй хозяин, владею с октября 2016. пробег реальный 100%,любые проверки за ваш счёт. был куплен мной с пробегом 58000 км. после покупки установлен датчик парковки. мной использовался в основном для поездок в краснодар по работе два раза в месяц. соответственно практически весь пробег - это в основном платная трасса м4 дон. автомобиль в хорошем состоянии, обслуживался в клубном сервисе. все наряды на руках. по кузову есть небольшие косяки, всё видно на фото. крашеные детали - левая передняя дверь, левое переднее крыло и левый порог ( маленькое дтп было при первом хозяине). масло в двс менял каждые 7500 км. сейчас пробег 169000 км.  перед продажей привёл автомобиль в полный порядок.на пробеге 164700 сделано  крупное то стоимостью 56000 рублей: заменено масло в двигателе, масло в акпп, все фильтры( в том числе топливный), передние и задние тормоза полностью( колодки,диски и барабаны), свечи зажигания, заменена помпа, сделан ремонт трапеции стеклоочистителей ( болезнь поло), сделан ремонт рулевой рейки (был небольшой люфт), сделан сход-развал передней оси, исправлены некоторые недочёты по подвеске. летом 2020 сделана чистка и заправка кондиционера.в ближайшие 2-3 года при должном обращении машина не потребует никаких вложей. состояние автомобиля кузов на хорошо, двигатель и акпп - хорошо, ходовая - на отлично. с машиной отдам два комплекта резины на литых дисках. установлена стальная защита двигателя и оригинальный подлокотник.диагностическая карта до июля 2022 года. большая просьба перекупам и салонам не звонить и не писать глупые сообщения ( различных ""официальных диллеров""это тоже касается)!!!!!!!!! я к вам не поеду и машину никуда ставить не буду!!!!!!!!! ( пока отказываю вам вам вежливо, но скоро начну грубить). небольшой торг у капота. машина стоит своих денег. за неё не стыдно. причина продажи - покупка автомобиля другого класса. автомобиль а такси не работал.",передний,серебристый,499000₽,,xw8**************,2владельца,2013,,,169000км,оригинал,левый,не требует ремонта,растаможен,******|50,4 года и 5 месяцев,1.0,,,,
54,new,1.6 л / 110л.с. / бензин,status,механическая,лифтбек,2750₽ / год,,"данная цена достигается путем сложения всех скидок и спецпредложений, подробности у специалиста отдела продаж. комплектация: volkswagen polo status 1.6 110hp 5mt (фольксваген поло). основные опции: 2020, климат-контроль, аудио, ткань, airbags, abs, esp, светодиодные фары, центральный замок, электропривод стекол, электропривод зеркал, круиз-контроль, датчик дождя, обогрев лобового стекла, обогрев сидений, парктроник, литые диски, r15. цвет кузова: черный deep black перламутр. тканевая обивка сидений. цвет обивки сидений: бежевый pure beige. автомобиль в наличии на складе дилера. предложение обновлено 02 марта 2021 г. в 01 ч 51 мин. ——————————————————————————— комплектация ——————————————————————————— ——————————————————————————— функциональное оборудование ——————————————————————————— • датчики света* • электрообогрев лобового стекла* • подогрев задних сидений* • мультифункциональное рулевое колесо* • климат-контроль автоматический «climatronic» с режимом рециркуляции* • датчики парковки спереди и сзади* • датчики дождя* • пассажирское сиденье с регулировкой по высоте* • пакет ""комфорт""* • салонное зеркало с автозатемнением* • пакет ""зимний""* • центральный замок с дистанционным управлением, 2 складных радиоключа • светодиодные фары рефлекторного типа • дневные ходовые огни • подвеска для плохих дорог • наружные зеркала с электроподогревом • обогрев форсунок омывателя ветрового стекла • электроподогрев передних сидений с раздельной регулировкой • рулевое колесо с обогревом • наружные зеркала с электрорегулировкой • электростеклоподъемники для всех дверей • электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости • рулевая колонка с регулировкой по высоте и вылету • мультимедиа система с дисплеем 6.5 дюймов и поддержкой функцией bluetooth / app-connect, 4 динамика • заднее сиденье 3-местное, спинка ассиметрично разделенная, складная • многофункциональный дисплей ""plus"" • круиз-контроль • комфортный режим работы указателей поворота (одно нажатие - три сигнала) • обогрев заднего стекла • омыватель и очиститель лобового стекла с переменным режимом • акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) • система эра-глонасс • сиденье водителя с регулировкой по высоте • светодиодные задние фонари ——————————————————————————— безопасность ——————————————————————————— • система распознования усталости водителя* • фронтальные подушки безопасности для водителя и переднего пассажира • антиблокировочная система (abs) • система стабилизации esc • система контроля давления в шинах • крепления isofix для установки детских сидений на заднем кресле • электронный иммобилайзер • индикация и звуковая сигнализация непристегнутого ремня безопасности водителя • з подголовника сзади, регулируемые по высоте • подголовники спереди с регулировкой по высоте • трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте ——————————————————————————— интерьер ——————————————————————————— • цвет обивки сидений: бежевый pure beige* • цвет передней панели: черный* • цвет коврового покрытия: темно-бежевый dark pure beige* • цвет потолка: серый* • 3-спицевое рулевое колесо с кожаной отделкой* • центральный подлокотник спереди с боксом* • текстильные коврики в салон* • количество мест: 5 • тип сидений: обычные сиденья • тканевая обивка сидений • зеленое атермальное остекление • декор передней консоли status • центральный подлокотник сзади • кожаная отделка рукояток рычагов кп и стояночного тормоза • карманы в обшивках всех дверей • хромированная отделка внутренних ручек дверей • подстаканник спереди ——————————————————————————— экстерьер ——————————————————————————— • черный deep black перламутр* • тип кузова: хэтчбек • количество дверей: 5 • легкосплавные колеса ""tosa"" • размер дисков: 6j x r15 • стальное запасное колесо • повторители сигналов поворота в боковых зеркалах заднего вида • дисковые тормоза спереди • оцинкованный кузов • корпуса наружных зеркал и ручки дверей окрашены в цвет кузова • бамперы окрашены в цвет кузова • шины 185/60 r15 ——————————————————————————— гарантия ——————————————————————————— • гарантия на основные узлы и агрегаты: 3 года / 100.000 км ________ * дополнительные заводские опции код объявления: 35177921",передний,чёрный,от 958500₽,,,,,,,,,,,,,,,,,,
55,new,1.6 л / 110л.с. / бензин,respect,автоматическая,лифтбек,2750₽ / год,,"дни грандиозных продаж в фольксваген центр внуково: мах выгоды на vw polo и tiguanв наличии. торопитесь. особый список автомобилей в наличии по уникальным ценам и с максимальными выгодами. больше выгод и автомобилей – по телефону! фольксваген центр внуково – официальный дилер volkswagen на киевском шоссе в москве. специальные условия для наших клиентов: — максимально выгодный трейд-ин — индивидуальный расчет кредита / лизинга — то-3 в подарок от нашего сервиса — особые выгоды для корпоративных клиентов. … и это ещё не всё, звоните, нам есть, что вам предложить! все подробности по телефону или при личной встрече с персональным консультантом отдела продаж. предложение обновлено 02 марта 2021г. в 03 ч 15 мин. ——————————————————————————— комплектация respect ——————————————————————————— ——————————————————————————— электрообогрев форсунок стеклоомывателей подушка безопасности пассажира bas центральный замок электропривод зеркал обогрев зеркал glonass бортовой компьютер складывающееся заднее сидение (опция) android-auto тканевый салон стальные диски abs антипробуксовочная система esp usb штатная аудиоподготовка spare-wheel штатная аудиосистема с tv apple-carplay активный усилитель руля drl электроподъемники задние регулировка сидений водителя по высоте кондиционер светодиодные фары подушка безопасности водителя isofix / latch электроподъемники передние датчик давления в шинах штатная аудиосистема с cd подогрев передних сидений bluetooth регулировка руля по вылету регулировка руля по высоте штатный иммобилайзер розетка 12v третий задний подголовник",передний,красный,от 930800₽,,,,,,,,,,,,,,,,,,
56,new,1.6 л / 110л.с. / бензин,respect,автоматическая,лифтбек,2750₽ / год,,"дни грандиозных продаж в фольксваген центр внуково: мах выгоды на vw polo и tiguanв наличии. торопитесь. особый список автомобилей в наличии по уникальным ценам и с максимальными выгодами. больше выгод и автомобилей – по телефону! фольксваген центр внуково – официальный дилер volkswagen на киевском шоссе в москве. специальные условия для наших клиентов: — максимально выгодный трейд-ин — индивидуальный расчет кредита / лизинга — то-3 в подарок от нашего сервиса — особые выгоды для корпоративных клиентов. … и это ещё не всё, звоните, нам есть, что вам предложить! все подробности по телефону или при личной встрече с персональным консультантом отдела продаж. предложение обновлено 02 марта 2021г. в 03 ч 14 мин. ——————————————————————————— комплектация respect ——————————————————————————— ——————————————————————————— электрообогрев форсунок стеклоомывателей подушка безопасности пассажира bas центральный замок электропривод зеркал обогрев зеркал glonass бортовой компьютер складывающееся заднее сидение (опция) android-auto тканевый салон стальные диски abs антипробуксовочная система esp usb штатная аудиоподготовка spare-wheel штатная аудиосистема с tv apple-carplay активный усилитель руля drl электроподъемники задние регулировка сидений водителя по высоте кондиционер светодиодные фары подушка безопасности водителя isofix / latch электроподъемники передние датчик давления в шинах штатная аудиосистема с cd подогрев передних сидений bluetooth регулировка руля по вылету регулировка руля по высоте штатный иммобилайзер розетка 12v третий задний подголовник",передний,серый,от 977400₽,,,,,,,,,,,,,,,,,,
57,used,1.4 л / 125л.с. / бензин,,роботизированная,седан,3125₽ / год,,состояние нового автомобиля куплен у дилера   пройдено первое то два комплекта колёс пробег родной осмотр в г лобня просьба  салонам и дилерам не звонить  продам сам и не спешно установлена композитная защита двигателя брызговики  рольф и подобные не звоните полностью заводской окрас парктроники по кругу куплен за наличные,передний,чёрный,1040000₽,,xw8**************,2владельца,2019,1.0,,5900км,оригинал,левый,не требует ремонта,растаможен,******|750,5 месяцев,1.0,до августа 2022,,,
58,used,1.6 л / 75л.с. / бензин,,механическая,седан,375₽ / год,1.0,"на уверенном ходу,все вопросы по телефону,либо пишите. заглушки в днище переваренны,салон весь промазанный.  стоят эстрадные динамики и рупора.  масло не кушает,пробег родной.  сейчас стоит зима,литье тоже отдам.  езжу каждый день.",передний,зелёный,110000₽,,vss**************,3 или более,1996,1.0,,190000км,дубликат,левый,не требует ремонта,растаможен,******|40,,,,,,
59,new,1.6 л / 110л.с. / бензин,respect,автоматическая,лифтбек,2750₽ / год,,"выгодные предложения на все комплектации и цвета в наличии! оформление сделки за 1 час. фольксваген центр бутово является официальным дилером volkswagen и входит в состав группы компаний «авторусь». это один из первых дилерских центров volkswagen, работающих по абсолютно новой концепции digital, в которой используются самые технологичные решения и инновационное дилерское оборудование. услуги дилерского центра: ∙ продажа полного модельного ряда автомобилей volkswagen; ∙ тест-драйв любой, интересующей вас, модели нового автомобиля; ∙ техническое обслуживание и ремонт любой сложности; ∙ страхование и кредитование на специальных условиях; ∙ любые оригинальные детали и аксессуары в наличии с выгодой до 10% и под заказ. экстерьер ---------------------------- стальные колеса 6j x 15 с полноразмерными колпаками ""sports9"", шины 185/60 r15 бамперы окрашены в цвет кузова корпуса наружных зеркал и ручки дверей окрашены в цвет кузова оцинкованный кузов зеленое атермальное остекление подвеска для плохих дорог светодиодные фары рефлекторного типа светодиодные задние фонари дневные ходовые огни интерьер ---------------------------- сиденье водителя с регулировкой по высоте тканевая обивка сидений, дизайн для версий origin / respect заднее сиденье 3-местное, спинка ассиметрично разделенная, складная подстаканник спереди хромированная отделка внутренних ручек дверей карманы в обшивках всех дверей 3-спицевое рулевое колесо безопасность ---------------------------- подушки безопасности для водителя и переднего пассажира трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте подголовники спереди с регулировкой по высоте з подголовника сзади, регулируемые по высоте дисковые тормоза спереди электронный иммобилайзер крепления isofix для установки детских сидений на заднем кресле индикация и звуковая сигнализация непристегнутого ремня безопасности водителя антиблокировочная система (abs) система стабилизации esc система контроля давления в шинах система эра-глонасс функциональное оборудование ---------------------------- акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости электростеклоподъемники для всех дверей центральный замок с дистанционным управлением, 2 складных радиоключа многофункциональный дисплей наружные зеркала с электрорегулировкой, электроподогревом повторители сигналов поворота в боковых зеркалах заднего вида омыватель и очиститель лобового стекла с переменным режимом обогрев заднего стекла стальное запасное колесо комфортный режим работы указателей поворота (одно нажатие - три сигнала) кондиционер электроподогрев передних сидений с раздельной регулировкой мультимедиа система с дисплеем 6.5 дюймов и поддержкой функцией bluetooth / app-connect, 4 динамика обогрев форсунок омывателя ветрового стекла * стоимость данного автомобиля указана без учета предустановленного дополнительного оборудования.",передний,серый,1140800₽,,,,,,,,,,,,,,,,,,
60,new,1.6 л / 110л.с. / бензин,status,автоматическая,лифтбек,2750₽ / год,,"выгодные предложения на все комплектации и цвета в наличии! оформление сделки за 1 час. фольксваген центр бутово является официальным дилером volkswagen и входит в состав группы компаний «авторусь». это один из первых дилерских центров volkswagen, работающих по абсолютно новой концепции digital, в которой используются самые технологичные решения и инновационное дилерское оборудование. услуги дилерского центра: ∙ продажа полного модельного ряда автомобилей volkswagen; ∙ тест-драйв любой, интересующей вас, модели нового автомобиля; ∙ техническое обслуживание и ремонт любой сложности; ∙ страхование и кредитование на специальных условиях; ∙ любые оригинальные детали и аксессуары в наличии с выгодой до 10% и под заказ. экстерьер ---------------------------- легкосплавные колеса ""tosa"" 6j x 15, шины 185/60 r15 бамперы окрашены в цвет кузова корпуса наружных зеркал и ручки дверей окрашены в цвет кузова оцинкованный кузов зеленое атермальное остекление подвеска для плохих дорог светодиодные фары рефлекторного типа светодиодные задние фонари дневные ходовые огни интерьер ---------------------------- сиденье водителя с регулировкой по высоте тканевая обивка сидений, дизайн для версии status заднее сиденье 3-местное, спинка ассиметрично разделенная, складная подстаканник спереди центральный подлокотник сзади хромированная отделка внутренних ручек дверей декор передней консоли для версии status карманы в обшивках всех дверей мультифункциональное рулевое колесо с кожаной отделкой и обогревом кожаная отделка рукояток рычагов кп и стояночного тормоза безопасность ---------------------------- подушки безопасности для водителя и переднего пассажира трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте подголовники спереди с регулировкой по высоте з подголовника сзади, регулируемые по высоте дисковые тормоза спереди электронный иммобилайзер крепления isofix для установки детских сидений на заднем кресле индикация и звуковая сигнализация непристегнутого ремня безопасности водителя антиблокировочная система (abs) система стабилизации esc система контроля давления в шинах система эра-глонасс функциональное оборудование ---------------------------- акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости электростеклоподъемники для всех дверей центральный замок с дистанционным управлением, 2 складных радиоключа многофункциональный дисплей ""plus"" наружные зеркала с электрорегулировкой, электроподогревом повторители сигналов поворота в боковых зеркалах заднего вида омыватель и очиститель лобового стекла с переменным режимом обогрев заднего стекла стальное запасное колесо комфортный режим работы указателей поворота (одно нажатие - три сигнала) климат-контроль автоматический «climatronic» с режимом рециркуляции круиз-контроль электроподогрев передних сидений с раздельной регулировкой мультимедиа система с дисплеем 6.5 дюймов и поддержкой функцией bluetooth / app-connect, 4 динамика салонное зеркало с автозатемнением обогрев форсунок омывателя ветрового стекла * стоимость данного автомобиля указана без учета предустановленного дополнительного оборудования.",передний,чёрный,1243100₽,,,,,,,,,,,,,,,,,,
61,used,1.6 л / 105л.с. / бензин,,автоматическая,седан,2625₽ / год,,"продаю поло в отличном состоянии, как по кузову так и по технике. машина личного владения, я вписан в птс. владею 3 года. масла менялись каждые 8000км, за последний месяц сделал очень много всего(на 50000руб есть все заказа наряды).  машина полностью переделана под рестайлинг. все фары, капот, решётка это все ставилось оригинал. салон в чехлах с первого дня моего владения. недавно была химчистка. менялась штатные колонки на улучшенные. на машине установлен выхлоп, но в комплекте с авто отдам старый.  2 комплекта литых колёс. машина в такси никогда не была.я на 100% уверен в своём автомобиле. любые проверки. очень жалко расставаться со своим автомобилем, получилось так, что обслужил весь автомобиль, а приходится продавать. ситуация вынуждает.  звоните, отвечу на все интересующие вопросы.",передний,синий,500000₽,,xw8**************,2владельца,2015,,,137000км,оригинал,левый,не требует ремонта,растаможен,******|799,,,,,,
62,used,1.6 л / 105л.с. / бензин,,автоматическая,седан,2625₽ / год,,"перед звонком прочитайте внимательно текст. вся информация, указанная ниже актуальна и соответствует.  фольксваген поло 2014 г.в. акпп. на учете на мне, я второй хозяин. авто приобретено весной 2016 за наличные. обслуживалась своевременно. полный комплект документов. в серьезных авариях участия не принимала. технически все исправно. необходимо поменять аккумулятор. возможен небольшой торг, только у авто после осмотра.  посмотреть авто можно по адресу университетский проспект 4. в любое время. я лично могу показать в 9 утра ежедневно либо после 23. если я отклонил звонок, значит я на встрече и перезвоню сам когда освобожусь, не надо перезванивать с 20 разных номеров. в салоны не поставлю, обмен не интересует.",передний,белый,450000₽,,xw8**************,2владельца,2014,,,257000км,оригинал,левый,не требует ремонта,растаможен,******|777,,,,,,
63,new,1.6 л / 110л.с. / бензин,status,механическая,лифтбек,2750₽ / год,,рольф — крупнейший дилерский холдинг россии! рольф юг - официальный дилер volkswagen. наш дилерский центр поразит вас многообразием программ на приобретение нового автомобиля. опытные менеджеры ответят на все ваши вопросы и дадут подробную консультацию по вашим запросам. приятным дополнением будут различные бонусы и акции на покупку нового автомобиля. мы ценим каждого клиента и работаем ради вас! покупка онлайн.  автомобиль с доставкой на дом. рольф юг. с нами легко. *в объявлении указаны актуальные цены с учетом акций на покупку новых автомобилей volkswagen в марте. предложение обновлено 02 марта 2021г. в 12 ч 51 мин. задний стеклоочиститель  пакет 'комфорт' для версии status   пакет ‘обзор и освещение’ ——————————————————————————— комплектация status ——————————————————————————— ——————————————————————————— пассивная безопасность ——————————————————————————— подушка безопасности водителя подушка безопасности пассажира крепление для детского сиденья isofix ——————————————————————————— активная безопасность и подвеска ——————————————————————————— антиблокировочная система тормозов система распределения тормозных усилий ——————————————————————————— экстерьер ——————————————————————————— дверные ручки в цвет кузова боковые зеркала с повторителями указателей поворота аэродинамический обвес ——————————————————————————— интерьер ——————————————————————————— спортивный кожаный руль передний подлокотник ——————————————————————————— приборы освещения ——————————————————————————— галогенные фары противотуманные фары с функцией освещения зоны поворота ——————————————————————————— комфорт ——————————————————————————— регулировка рулевой колонки по углу наклона регулировка рулевой колонки по вылету ручная регулировка высоты сиденья водителя электроприводы передних стекол электроприводы задних стекол электроприводы боковых зеркал электроприводы складывания зеркал обогрев боковых зеркал обогрев передних сидений обогрев форсунок стеклоомывателей климат-контроль атермальное остекление ——————————————————————————— аудио- и информационно-развлекательные системы ——————————————————————————— магнитола rcd 230 бортовой компьютер ——————————————————————————— охранные системы ——————————————————————————— центральный замок с ду иммобилайзер ——————————————————————————— запасное колесо ——————————————————————————— полноразмерное ———————————————————————————,передний,белый,от 925700₽,,,,,,,,,,,,,,,,,,
64,new,1.4 л / 125л.с. / бензин,status,роботизированная,лифтбек,3125₽ / год,,"в стоимость автомобиля включено дополнительное оборудование дилера на сумму 91700 р., подробную информацию уточняйте в отделе продаж ——————————————————————————— функциональное оборудование ——————————————————————————— • датчики света* • электрообогрев лобового стекла* • подогрев задних сидений* • климат-контроль автоматический «climatronic» с режимом рециркуляции* • мультимедиа система с дисплеем 8.0 дюймов и поддержкой функцией bluetooth / app-connect, 6 динамиков* • цифровая приборная панель ""active info display""* • датчики дождя* • usb-разъемы для пассажиров задних сидений* • пакет ""мультимедиа""* • салонное зеркало с автозатемнением* • пакет ""зимний""* • центральный замок с дистанционным управлением, 2 складных радиоключа • светодиодные фары рефлекторного типа • дневные ходовые огни • подвеска для плохих дорог • наружные зеркала с электроподогревом • обогрев форсунок омывателя ветрового стекла • электроподогрев передних сидений с раздельной регулировкой • рулевое колесо с обогревом • наружные зеркала с электрорегулировкой • электростеклоподъемники для всех дверей • электромеханический усилитель рулевого управления с переменной производительностью в зависимости от скорости • рулевая колонка с регулировкой по высоте и вылету • мультифункциональное рулевое колесо • заднее сиденье 3-местное, спинка ассиметрично разделенная, складная • круиз-контроль • комфортный режим работы указателей поворота (одно нажатие - три сигнала) • обогрев заднего стекла • омыватель и очиститель лобового стекла с переменным режимом • акб увеличенной емкости для улучшения запуска в холодное время (до -36°c) • система эра-глонасс • сиденье водителя с регулировкой по высоте • светодиодные задние фонари ——————————————————————————— безопасность ——————————————————————————— • боковые шторки безопасности* • боковые подушки безопасности для водителя и переднего пассажира* • камера заднего вида* • противоугонная система с датчиками внутреннего объёма и автономной сиреной* • отключение пассажирской передней подушки безопасности* • пакет ""безопасность""* • фронтальные подушки безопасности для водителя и переднего пассажира • антиблокировочная система (abs) • система стабилизации esc • система контроля давления в шинах • крепления isofix для установки детских сидений на заднем кресле • электронный иммобилайзер • индикация и звуковая сигнализация непристегнутого ремня безопасности водителя • з подголовника сзади, регулируемые по высоте • подголовники спереди с регулировкой по высоте • трехточечные ремни безопасности на всех сиденьях, спереди с регулировкой по высоте ——————————————————————————— интерьер ——————————————————————————— • цвет обивки сидений: бежевый pure beige* • цвет передней панели: черный* • цвет коврового покрытия: темно-бежевый dark pure beige* • цвет потолка: серый* • центральный подлокотник спереди с боксом* • количество мест: 5 • тип сидений: обычные сиденья • тканевая обивка сидений • зеленое атермальное остекление • 3-спицевое рулевое колесо с кожаной отделкой • декор передней консоли status • центральный подлокотник сзади • кожаная отделка рукояток рычагов кп и стояночного тормоза • карманы в обшивках всех дверей • хромированная отделка внутренних ручек дверей • подстаканник спереди ——————————————————————————— экстерьер ——————————————————————————— • белый pure / черный deep black перламутр* • легкосплавные колеса ""las minas"" черные* • размер дисков: 6j x r16* • дисковые тормоза сзади* • шины 195/55 r16* • стальное запасное колесо • повторители сигналов поворота в боковых зеркалах заднего вида • дисковые тормоза спереди • оцинкованный кузов • корпуса наружных зеркал и ручки дверей окрашены в цвет кузова • бамперы окрашены в цвет кузова ________ * дополнительные заводские опции. комплектация «status»: • антиблокировочная система • система курсовой устойчивости • датчик давления в шинах • подушки безопасности водителя • подушки безопасности пассажиров, в том числе задних • боковые передние подушки безопасности • система крепления детских автокресел • сигнализация • иммобилайзер • центральный замок • бортовой компьютер • круиз-контроль • камера заднего вида • датчик света • датчик дождя • усилитель руля • регулировка руля • электростеклоподъемники передние • электропривод зеркал • климат-контроль • подогрев сидений водителя, пассажира и задних пассажиров • подогрев руля • обогрев зеркал • обогрев лобового стекла • обогрев зоны стеклоочистителей • обогрев форсунок стеклоомывателей • cd • bluetooth • мультифункциональное рулевое колесо • тканевая обивка салона • кожаный руль • складывающееся заднее сидение • размер дисков 16″ • светодиодные фары • автоматический корректор фар",передний,белый,от 1078840₽,,,,,,,,,,,,,,,,,,
