,brand,model,vin,владельцы,год выпуска,госномер,двигатель,коробка,кузов,налог,описание,привод,пробег,птс,руль,состояние,таможня,цвет,цена,обмен,гарантия,владение,кузов №,запас хода
1169,volvo,c30,yv1**************,3 или более,2009,******|178,2.0 л / 145 л.с. / бензин,роботизированная,хэтчбек 3 дв.,5 075 ₽ / год,"хороший надежный авто, продаём по причине рождения ребёнка. авто зарегистрировано на жену. владели 1,5 года. авто в хорошем состоянии ничего не дребезжит, едет гладко. на вопрос скручен пробег или нет, не могу ответить брали с салона б/у. там был пробег 90тыс. в комплекте летняя резина. зимняя второй сезон катает только-покупал новую при покупке авто. летняя в хорошем состоянии.",передний,106 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,580 000 ₽,рассмотрю варианты,,1 год и 5 месяцев,,
1170,hyundai,solaris,z94**************,2 владельца,2013,******|46,1.6 л / 123 л.с. / бензин,механическая,седан,3 690 ₽ / год,"седан, мкпп, электропривод боковых зеркал, электроподогрев боковых зеркал, регулировка высоты сиденья водителя, электроподогрев передних сидений, электрические стеклоподьемники передние и задние, электроподогрев заднего стекла, abs , кондиционер, cd, mp3-плеер. установлены задние парктроники, камера заднего вида, противотуманные фары. два комплекта ключей, сигнализация. два комплекта колес. летняя резина на литых дисках. в автомобиле не курили. подробнее по телефону. торг у капота.",передний,40 500 км,оригинал,левый,не требует ремонта,растаможен,золотистый,610 000 ₽,,,4 года и 3 месяца,,
1171,renault,sandero,x7l**************,1 владелец,2015,******|76,1.6 л / 82 л.с. / бензин,механическая,хэтчбек 5 дв.,1 230 ₽ / год,"состояние нового автомобиля, оригинальный пробег, не бит, не крашен, без дтп, кондиционер, противотуманные фары,2 комплекта резины, сигнализация, полностью обслужен. сандеро степвэй. рассмотрю варианты обмена.",передний,34 679 км,оригинал,левый,не требует ремонта,растаможен,чёрный,660 000 ₽,рассмотрю варианты,,,,
1172,audi,a6,wau**************,3 или более,2016,******|193,1.8 л / 190 л.с. / бензин,роботизированная,седан,5 700 ₽ / год,"автомобиль в отличном состоянии. полностью обслужен. передняя часть автомобиля в бронепленке. очень экономичный и шустрый автомобиль, не смотря что 1.8. два комплекта резины зима, лето. остальные интересующие вопросы по телефону.",передний,145 000 км,оригинал,левый,не требует ремонта,растаможен,белый,1 700 000 ₽,,,,,
1173,kia,ceed,xwe**************,2 владельца,2013,,1.6 л / 129 л.с. / бензин,автоматическая,хэтчбек 5 дв.,3 225 ₽ / год,"💰 в кредит: 11 675,00 ₽/мес. без каско и страхования жизни 💰  преимущества: ✅ 2 владельца за все время эксплуатации ✅ проведена химчистка и полировка кузова фактический пробег составляет около 230000 км automama - проверенные автомобили в кредит  киа сид 2013 год ..  [hgbgccd:12254]",передний,167 992 км,оригинал,левый,не требует ремонта,растаможен,коричневый,720 000 ₽,рассмотрю варианты,,,,
1174,vaz,2110,xta**************,3 или более,2004,,1.5 л / 79 л.с. / бензин,механическая,седан,1 580 ₽ / год,"продам ваз 2110 2004 года, 1,5 объем, в отличном состоянии. инжектор, 8 клапанов (не гнет). новый аккумулятор. коробка включается чётко, кулиса не расшатана, ничего не вылетает, не хрустит, 5 ступка. двигатель работает отлично, тянет очень хорошо, не дымит, не троит, масло не жрет. компрессия во всех по 12. по ходовке все хорошо, подвеска не стучит. гранаты не хрустят. дно хорошее.  приятный салон. шумоизоляция пола. электростеклоподъемники. произведено то 4,000км назад заменены все фильтры и все жидкости(антифриз, масло в коробке, в двигателе). полностью в круг заменена и прокачана тормозная система(новых тормозные диски, суппорта, колодки, барабаны). печка греет. стоит хорошая зимняя резина. все стекла родные. на учет встанет без проблем, вин номера читаются, мотор родной. по документам абсолютно чистая залогов, запретов нет. тонировку, если нужно сниму при вас. небольшой торг на бензин",передний,148 000 км,дубликат,левый,не требует ремонта,растаможен,чёрный,74 000 ₽,,,,,
1175,hyundai,getz,kmh**************,3 или более,2004,******|97,1.3 л / 85 л.с. / бензин,механическая,хэтчбек 5 дв.,1 020 ₽ / год,"машина в хорошем состоянии, на 4, как внешне, так и по технической части, есть недочёты по кузову, мелкие сколы, есть трещина на лобовом стекле, в прошлом году куплена летняя резина в круг, зимы нет, 4 спеклоподъемника, кондиционер морозит хорошо. всё предыдущие хозяйки тоже женщины, эксплуатация бережная. кто ищет машину с идеальным внешним видом, смотрите более дорогие варианты, возможен небольшой торг!",передний,242 000 км,оригинал,левый,не требует ремонта,растаможен,серебристый,240 000 ₽,,,,,
1176,bentley,continental_gt,scb**************,2 владельца,2004,******|90,6.0 л / 560 л.с. / бензин,автоматическая,купе,84 000 ₽ / год,"2004 bentley continental gt коллекционный экземпляр один из первых официально ввезенных continental gt в россию два владельца за всю историю ни одного перекрашенного кузовного элемента реальный пробег 57 тыс. км «….дцатый» автомобиль в семье учитывая курс рубля, цена без торга посредникам, любителям демпинга и прочим персонажам, не ценящим чужое время, просьба не беспокоиться.",полный,57 000 км,оригинал,левый,не требует ремонта,растаможен,зелёный,3 000 000 ₽,,,2 года и 8 месяцев,,
1177,mercedes,e_klasse,wdd**************,1 владелец,2016,******|777,2.0 л / 184 л.с. / бензин,автоматическая,седан,9 200 ₽ / год,"отличный автомобиль в amg пакете, новая летняя резина, зимняя резина в комплекте. за все время красили заднюю левую арку крыла.  брокеров прошу не беспокоить! машину можно посмотреть метро маяковская  сами машину никуда не отгоняем!!!!",полный,101 307 км,оригинал,левый,не требует ремонта,растаможен,чёрный,2 250 000 ₽,,,,,
1178,vaz,2170,xta**************,3 или более,2011,******|163,1.6 л / 98 л.с. / бензин,механическая,хэтчбек 5 дв.,1 568 ₽ / год,"без кондиционера с подъёмниками цз и музыкой,могу скинуть видео,есть модные допы,не гнилая,гидрокиста не стучат и пробег не скручен,прослужит долго без проблем",передний,150 000 км,оригинал,левый,не требует ремонта,растаможен,серебристый,190 000 ₽,,,,,
1179,hyundai,sonata,x7m**************,2 владельца,2008,******|134,2.7 л / 172 л.с. / бензин,автоматическая,седан,8 600 ₽ / год,все вопросы по телефону,передний,220 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,290 000 ₽,рассмотрю варианты,,3 месяца,,
1180,vaz,kalina,xta**************,3 или более,2010,******|32,1.4 л / 89 л.с. / бензин,механическая,седан,890 ₽ / год,в хорошем состоянии.родные стекла .птс оригинал.,передний,129 000 км,оригинал,левый,не требует ремонта,растаможен,серебристый,210 000 ₽,рассмотрю варианты,,,,
1181,volvo,xc60,yv1**************,1 владелец,2015,******|48,2.4 л / 190 л.с. / дизель,автоматическая,внедорожник 5 дв.,9 500 ₽ / год,"куплена новой у официального дилера в 2016 году. в идеальном состоянии, без вложений. красился только задний бампер - любые специалисты, толщиномеры и т.д... 3'000 км назад пройдено то с заменой масла в муфте haldex и масла в кпп. вкруг новые тормоза. два комплекта колёс.",полный,83 000 км,оригинал,левый,не требует ремонта,растаможен,синий,1 800 000 ₽,,,5 лет и 1 месяц,,
1182,toyota,land_cruiser_prado,jte**************,2 владельца,2010,******|750,3.0 л / 173 л.с. / дизель,автоматическая,внедорожник 5 дв.,8 477 ₽ / год,"машина без каких либо проблем, сел и поехал. мотор чипован. комплектация престиж +",полный,381 700 км,оригинал,левый,не требует ремонта,растаможен,чёрный,1 799 999 ₽,,,,,
1183,vaz,2107,xta**************,1 владелец,1999,******|99,1.6 л / 75 л.с. / бензин,механическая,седан,900 ₽ / год,автомобиль очень бережной летней эксплуатации в одних руках  ( военный пенсионер ) . 100% родная краска . не одного жучка .  автомобиль действительно в безупречном состоянии как для коллекционеров. лучше увидеть и даже прокатится . подробнее звоните .,задний,90 000 км,оригинал,левый,не требует ремонта,растаможен,красный,114 000 ₽,,,21 год и 6 месяцев,,
1184,volkswagen,tiguan,xw8**************,2 владельца,2018,******|799,2.0 л / 150 л.с. / дизель,роботизированная,внедорожник 5 дв.,5 250 ₽ / год,"модель 2019 года, эксплуатация одним хозяином (переоформлялся в одной семье), в дтп не участвовал, весь кузов в родной краске ( ни одна деталь не перекрашивалась, даже бампера), в идеальном состоянии, нет ни сколов, ни жучков, ни царапин. автомобиль весь обслужен ( заменено масло в халдексе, в коробке, заменян грм и т.д), все то прошел у официального дилера, на основной гарантии до конца октября 2021 года + дополнительно год гарантии по программе das weltauto. самый надежный дизельный двигатель в линейке фольксваген, расход по трассе 7 литров, по городу 9. самая надежная коробка с мокрым сцеплением. самая полная комплектация highline, есть все, что возможно, кроме кожи, т.к считаю, что алькантара намного удобнее и комфортнее.  с панорамной крышей (большая редкость), бесключевой доступ, кнопка старт-стоп, большой сенсорный цветной монитор с огромным количеством функций, камера заднего вида, электронная панель, парковка задняя и передняя, многофункциональное рулевое колесо с подогревом и с подрулевыми лепестками, подогревы всех сидений, трехзонный климат-контроль, адаптивный круиз-контроль, светодиодные биксеноновые фары ближнего и дальнего света проекционного типа с поворотной подсветкой и дневными ходовыми огнями, литые диски r18 на хорошей зимней резине + летняя резина, лобовое стекло с электроподогревом, электропривод багажника, вебасто и многое другое, в фото можно посмотреть полностью его комплектацию. официальным дилерам, автосалонам, carprise, площадкам, аукционам просьба не звонить, никуда ставить не буду, на оценку не поеду, рольфу и major не звонить.",полный,95 120 км,оригинал,левый,не требует ремонта,растаможен,серебристый,2 079 000 ₽,,до октября 2022,,,
1185,bmw,5er,x4x**************,3 или более,2006,******|123,2.5 л / 218 л.с. / бензин,автоматическая,седан,16 350 ₽ / год,"продам свою машину , владею более 9 лет , учёт рф ( краснодарский край ) . птс - оригинал ,вторая машина в семье . сделано много доработок - салон комфорт , фары в круг рестайл ( с заменой блока света , кодированием ... ) , cic ( навигация , видео в движении, камера заднего вида ) , м руль с подогревом и подрулевыми лепестками ( не подключал ) , планки салона « под дерево» , обвес м - стиль ( передний бампер и фары в пленке ) . все то по регламенту . с самого начала обслуживался в «баварии м». по двигателю - заменил цепи ( основная и маслянного насоса ) с заменой всех необходимых сальников и прокладок , а так же маслосъемные колпачки . заменил насос гур ( оригинал ) . аккумулятор агм - новый . так же был заменён испаритель конденционера с моторчиком вентилятора салона . и много ещё всего ... два комплекта резины - зима r 17 на оригинальных дисках , лето r 18 на новой резине good year ultra grip ( куплена в марте 2020 , прошла не более 3000 км ) . на машину денег не жалел ! на последнем то в январе 21 - заменил передние тормозные диски ( zimmerman ) и колодки . обмена нет, только продажа !!! ( новая машина уже куплена ) . торг будет только реальному покупателю у капота ( по телефону не торгуюсь !!!! ) vin x4xne59426cs16159",задний,251 400 км,оригинал,левый,не требует ремонта,растаможен,чёрный,650 000 ₽,,,9 лет и 1 месяц,,
1186,toyota,lite_ace,sr40-0***********,3 или более,2000,******|34,2.0 л / 130 л.с. / бензин,автоматическая,компактвэн,3 250 ₽ / год,продам автомобиль в нормальном состоянии..все работает ..резина зимняя новая..летняя в отличном состоянии..сигнализация..хороший торг.,задний,302 000 км,дубликат,правый,не требует ремонта,растаможен,серебристый,365 000 ₽,,,,,
1187,vaz,2170,xta**************,3 или более,2010,******|123,1.6 л / 98 л.с. / бензин,механическая,седан,1 176 ₽ / год,"продаётся автомобиль  был произведён кап ремонт двигателя , новая коробка  перебрали всю ходовую часть  все вопросы по телефону  торг",передний,220 000 км,оригинал,левый,не требует ремонта,растаможен,синий,200 000 ₽,,,,,
1188,nissan,almera,z8n**************,1 владелец,2016,,1.6 л / 102 л.с. / бензин,механическая,седан,3 060 ₽ / год,"осмотр: г. тамбов, ул. киквидзе, д.116 предлагаем вашему вниманию автомобиль:  nissan almera 2016 года выпуска. автомобиль продается официальным дилером renault - компанией ""rtdservice"". rtdservice – участник проекта renault selection, лучший дилер renault в россии в 2015,2016,2017,2018 и 2019 годах - предлагает рассмотреть покупку данного автомобиля. кредит на выгодных условиях: первый взнос от 10% гарантированная выгода при обмене на ваш автомобиль!!! автомобиль прошел тщательный технический контроль по 75 пунктам в соответствии с едиными стандартами качества официального дилера renault. _______________________________________________________________________ информация по автомобилю:     • птс оригинал, выдан 20.05.2016     • количество владельцев:  один     • полный комплект ключей и документов     • проведена предпродажная подготовка ___________________________________________________________________ автомобиль юридически чист и технически исправен. сертификат проверки вы можете детально изучить при знакомстве с автомобилем у нас в салоне. все основные узлы и агрегаты исправны и находятся в рабочем состоянии. мы предоставим вам полную и объективную информацию о состоянии автомобиля. обращаем ваше внимание, что автосалон rtdservice является официальным дилером и не взимает никаких дополнительных доплат и комиссий. вам доступна гарантированная дополнительная выгода от rtdservice при обмене вашего автомобиля. кроме того, вы можете выгодно приобрести данный автомобиль в кредит в одном из банков-партнеров на лучших условиях:  - процентная ставка от 9,9% годовых  - без первоначального взноса  - по двум документам  - дистанционная подача заявки на кредит  - рассмотрение от 1 часа  так же на месте, вы можете оформить все необходимые документы, включая осаго и каско.  приглашаем вас на проведение пробной (ознакомительной) поездки! у нас вы можете проверить кузов на предмет окрашенных деталей, провести осмотр на подъемнике. мы экономим время наших клиентов, поэтому приобретение автомобиля в нашем дц займет минимальное количество времени! #cmecnc1kb2nlcfpv  [hgidchb:21030]",передний,72 000 км,оригинал,левый,не требует ремонта,растаможен,белый,549 000 ₽,рассмотрю варианты,,,,
1189,volkswagen,passat,xw8**************,3 или более,2008,******|197,1.8 л / 160 л.с. / бензин,автоматическая,седан,7 200 ₽ / год,"автомобиль для своего года в бодром состоянии, сел и поехал, отвезет,привезет)  без нареканий, коробка включается плавно пинков нету, ходовая часть сделан недавно, масло все мененны, по кузову есть маленькие  недочеты которые легко устроняются. салон не пахнет, все родное все штатное!",передний,236 688 км,оригинал,левый,не требует ремонта,растаможен,синий,420 000 ₽,,,,,
1190,ford,focus,x9f**************,2 владельца,2012,******|77,1.6 л / 125 л.с. / бензин,механическая,седан,3 125 ₽ / год,"машина без дтп!   была куплена первым владельцев в 2013 году у официального дилера.  я второй владелец. пробег оригинальный!   то проходил каждые 10тысяч. последнее делал 3 тысячи назад, менял свечи, колодки, масло в двигатели, все фильтра, косточки, на данный момент ни каких вложений машина не требует. мотор, коробка и подвеска в очень хорошем состоянии. сигнализация с автозапуском.комплектация с подогрев сидений и лобовое,  кожаном рулем,абс,есп и многим другим.  в машине не курил!!!",передний,144 813 км,оригинал,левый,не требует ремонта,растаможен,серый,538 000 ₽,,,,,
1191,mercedes,gle_klasse,wdc**************,1 владелец,2016,******|96,4.7 л / 435 л.с. / бензин,автоматическая,внедорожник 5 дв.,43 152 ₽ / год,"продам отличный автомобиль mercedes gle 500. 1 хозяин. комплектация топовая в то время для данного мотора. внутренний и внешний amg пакет. в период гарантии обслуживался у официального дилера, потом в специализированном сервисе. так же имеется штатная webasto, с отдельным фирменным ключом, камеры кругового обзора. из крашеных элементов капот по каско у оф. дилера, лобовое родное. номер 005 в подарок любые проверки у официального дилера. рассмотрю варианты обмена",полный,117 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,3 190 000 ₽,,,4 года и 9 месяцев,,
1192,mitsubishi,montero_sport,ja4**************,2 владельца,2003,******|29,3.0 л / 170 л.с. / бензин,автоматическая,внедорожник 5 дв.,7 650 ₽ / год,"машина для ценителей, в таком состоянии их почти не осталось.  редкая, с раздаткой awd и увеличенной крышей. таких выпущено всего 3000 штук по всему миру.  чистый японец! 2 хозяина, в россии с 2007 года. только гаражное хранение. идеальное состояние, вся краска своя, без дтп. ржавчины нету. мотор сухой весь, масло не ел вообще. коробка автомат живая, без рывков-пинков и так далее.  ходовая и рама в отличном состоянии! вин читается!!! рама обработана! салон в идеальнейшем состоянии, сохранился очень круто. птс оригинал! все комплекты ключей. салоны и посредники не беспокойте, не договоримся.",полный,131 758 км,оригинал,левый,не требует ремонта,растаможен,синий,500 000 ₽,,,8 лет и 7 месяцев,,
1193,mazda,cx_7,jmz**************,3 или более,2008,******|159,2.3 л / 238 л.с. / бензин,автоматическая,внедорожник 5 дв.,16 184 ₽ / год,"не пишите свою цену. торг присутствует. на машине запрет на сумму 3800 на предпредыдущего хоза, ошибочный, в ближайшее время снимут..",полный,139 000 км,дубликат,левый,не требует ремонта,растаможен,синий,520 000 ₽,,,,,
1194,ford,fiesta,wf0**************,3 или более,2007,******|36,1.4 л / 80 л.с. / бензин,механическая,хэтчбек 3 дв.,960 ₽ / год,"с 2015 в моих руках, никогда не подводила. по технической части все своевременно обслуживала всегда. по внешнему виду все на фото. честно говоря нет времени заниматься, т.к. уже есть новая машина. маленький расход бензина. продаю не спеша. красивые номера в ближайшее время сниму и будет дубликат птс. как первая машина будет идеально. просмотр в р-не южное медведково.",передний,182 566 км,дубликат,левый,не требует ремонта,растаможен,красный,160 000 ₽,,,5 лет и 6 месяцев,,
1195,kia,sportage,kna**************,1 владелец,2009,******|38,2.0 л / 112 л.с. / дизель,механическая,внедорожник 5 дв.,1 064 ₽ / год,отличное т/с. литьё зима и лето. электроподогрев двигателя. подогрев передн.сидений. царапина пер.крыло и пер.сиденье.,полный,84 000 км,оригинал,левый,не требует ремонта,растаможен,серебристый,800 000 ₽,,,,,
1196,porsche,panamera,wp0**************,3 или более,2015,******|799,3.6 л / 310 л.с. / бензин,роботизированная,хэтчбек 5 дв.,46 500 ₽ / год,"продаю свой автомобиль в отличном состоянии. я его хозяин на мне он стоит на учёте. очень красивой сочетание: темно коричневый авто и светлый салон!! посмотрите на фото, но вживую, выглядит, намного эффектнее.  полный привод.  кузов в отличном состоянии. царапин, вмятин и прочего- нет).  вся в родной краске, за исключением задней правой двери (была маленькая царапина- покрасили). покрашена идеально!!! салон в великолепном состоянии! хорошая комплектация. камеры кругового обзора, обогрев руля, навигация, музыка bose, вентиляция и обогрев сидений, доводчики дверей, электропривод багажника и т.д. все сделано для водителя! работает абсолютно всё, никаких ошибок и нареканий нет. любые проверки с вашей стороны.  бензин только 100-й.  2 комплекта резины.  2 комплекта ковриков. зимние и летние. на фото летние в цвет салон. зимние черные с высокими бортами, чтобы не пачкался пол. недавно выехала с детейлинга, всё чисто и ухоженно, впрочем как и всегда. спереди и сзади установлены видеорегистраторы. webasto с пультом.  осмотр возможен в любое время! автомобиль хранится на подземной, теплой, хорошо освещаемой парковке.",полный,83 500 км,оригинал,левый,не требует ремонта,растаможен,коричневый,3 350 000 ₽,рассмотрю варианты,,,,
1197,hyundai,tucson,tma**************,2 владельца,2015,******|123,1.6 л / 177 л.с. / бензин,роботизированная,внедорожник 5 дв.,8 850 ₽ / год,"самая максимальная комплектация, включая панораму.  кожаный салон с вентиляцией сидений и электроприводом. летние колеса на 19.  дополнительно установлена сигнализация pandora с автозапуском.  один водитель (девушка). машина стоит в гараже, ждёт хозяина, так как сейчас езжу на новом автомобиле.  небольшой торг при встрече.  обмен не рассматриваю.",полный,58 000 км,оригинал,левый,не требует ремонта,растаможен,белый,1 490 000 ₽,,,3 года и 11 месяцев,,
1198,vaz,2111,xta**************,3 или более,2004,******|31,1.5 л / 79 л.с. / бензин,механическая,универсал 5 дв.,1 185 ₽ / год,автомобиль на ходу. все вопросы по телефону,передний,272 000 км,оригинал,левый,не требует ремонта,растаможен,серебристый,90 000 ₽,,,,,
1199,vaz,2109,xta**************,3 или более,1992,******|31,1.3 л / 64 л.с. / бензин,механическая,хэтчбек 5 дв.,960 ₽ / год,"ваз 2109 переварена,окрашена полностью. стоит инжекторный мотор после капремонта.",передний,2 500 км,оригинал,левый,не требует ремонта,растаможен,красный,55 000 ₽,,,,,
1200,bmw,x3,x4x**************,3 или более,2008,******|126,2.5 л / 218 л.с. / бензин,автоматическая,внедорожник 5 дв.,16 350 ₽ / год,"по факту стоит 3-х литровый двигатель, езжу на нем уже 2 года. масло вообще не берет. менял задний редуктор. пару недель назад делал коробку.",полный,252 000 км,дубликат,левый,не требует ремонта,растаможен,серый,450 000 ₽,,,,,
1201,bmw,3er,x4x**************,2 владельца,2015,******|716,1.6 л / 136 л.с. / бензин,автоматическая,седан,4 760 ₽ / год,"автомобиль в заводской окраске. все элементы кузова родные, включая лобовое стекло. пробег родной, трассовый. все работает исправно .двигатель работает ровно. коробка переключается четко.  на днях сделано то,  заменены масла, фильтра, расходники, чеки имеются.  комплектация: штатный ксенон, подогрев руля, сидений, климат контроль, и.т.д.",задний,124 300 км,оригинал,левый,не требует ремонта,растаможен,чёрный,1 290 000 ₽,рассмотрю варианты,,5 лет и 3 месяца,,
1202,volkswagen,polo,xw8**************,3 или более,2012,******|159,1.6 л / 105 л.с. / бензин,механическая,седан,3 675 ₽ / год,"авто в хорошем состоянии стоит новое газовое оборудование в птс не вписано новый акб сигналка с обратной связью. все гостит работает, 2 крашеных элемента они меняные.",передний,196 000 км,оригинал,левый,не требует ремонта,растаможен,белый,340 000 ₽,рассмотрю варианты,,,,
1203,bmw,5er,x4x**************,1 владелец,2018,,3.0 л / 249 л.с. / дизель,автоматическая,седан,18 675 ₽ / год,"продается легендарная  автомобили bmw premium selection доступны эксклюзивно в дилерском центре ключавто  премиум. наши автомобили с небольшим пробегом соответствуют высочайшим стандартам, поскольку как визуальные, так и технические детали, как салон, так и внешний облик — абсолютно весь автомобиль подвергается комплексной тщательнейшей проверке, обеспечивающей соответствие нашим строго заданным стандартам качества. каждый автомобиль bmw premium selection имеет свою собственную историю – и никто не знает ее лучше, чем официальный сервисный центр bmw. именно поэтому каждый сертифицированный автомобиль с пробегом bmw имеет полную, прозрачную и полностью подтвержденную историю эксплуатации. таким образом, вы можете быть уверены, что ваш автомобиль bmw premium selection всегда наблюдался у высококвалифицированных специалистов.                                                                                         экстерьер 19' m легкосплавные диски y-spoke 845 m bicolour jet black с разноразмерными шинами runflat аэродинамический пакет м внешний дизайн bmw individual shadow line                                                                            наборные опции bmw repair inclusive* интерактивный ключ bmw display key пакет connected professional пакет m sport система сквозной погрузки                                                                                 комфорт автоматическая коробка передач steptronic с подрулевыми переключателями автоматический контроль климата, 2-зонныый, с расширенными функциями автоматический привод крышки багажника автономная система отопления комфортный доступ обогрев рулевого колеса оборудование для стран с холодным климатом русский язык сервисная книжка инструкция на русском языке                                                                                         приборы освещения адаптивные светодиодные фары пакет освещения система управления дальним светом                                                           ассистент парковки знак аварийной остановки индикатор давления в шинах расширенный пакет зеркал заднего вида функция интеллектуального экстренного вызова                                                                    аудио- и информационно-развлекательные системы аудиосистема типа hi-fi сервисы bmw connecteddrive                                                                   активная безопасность и подвеска без спортивной настройки подвески безопасные шины runflat оснащение национальной системой торможения                                                                                 интерьер велюровые коврики обивка потолка салона bmw individual, антрацит подогрев передних сидений спидометр с обозначением километров спортивное кожаное рулевое колесо м спортивные сиденья для водителя и переднего пассажира отличное состояние! оригинал птс! ключавто | автомобили с пробегом — направление автохолдинга ключавто, специализирующееся на покупке и продаже автомобилей с пробегом по всей россии! ✅ продажа; ☄️ обмен; ⏳ срочный выкуп; ⚡ комиссия; ✈️ юридическая чистота сделки; ☔ страховка осаго и каско на месте; ⭐ кредит по льготной ставке + скидка от 20 000 рублей до 50 000 рублей! ключавто | автомобили с пробегом – это всегда выгодно и надёжно! наши автосалоны автомобилей с пробегом открыты в 18 городах: краснодаре, минеральных водах, ставрополе, сочи, ростове-на-дону, новороссийске, горячем ключе, перми, челябинске, новосибирске, екатеринбурге, воронеже, белгороде, москве, тюмени, санкт-петербурге, курске и волгограде.",полный,119 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,3 343 000 ₽,рассмотрю варианты,,,,
1204,hyundai,elantra,kmh**************,3 или более,2006,******|48,1.6 л / 105 л.с. / бензин,механическая,седан,2 940 ₽ / год,торг при осмотре,передний,173 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,250 000 ₽,,,,,
1205,volkswagen,tiguan,xw8**************,2 владельца,2015,,2.0 л / 170 л.с. / бензин,автоматическая,внедорожник 5 дв.,7 650 ₽ / год,"ключавто | автомобили с пробегом — направление автохолдинга ключавто, специализирующееся на покупке и продаже автомобилей с пробегом по всей россии! ✅ продажа; ☄️ обмен; ⏳ срочный выкуп; ⚡ комиссия; ✈️ юридическая чистота сделки; ☔ страховка осаго и каско на месте; ⭐ кредит по льготной ставке + скидка от 20 000 рублей до 70 000 рублей! ..................................................................................................................................................................",полный,92 872 км,оригинал,левый,не требует ремонта,растаможен,белый,1 269 900 ₽,рассмотрю варианты,,,,
1206,mitsubishi,outlander,z8t**************,2 владельца,2014,******|154,2.0 л / 146 л.с. / бензин,вариатор,внедорожник 5 дв.,2 190 ₽ / год,"продаю замечательный, надежный и неприхотливый кроссовер. являюсь вторым собственником с 2015 года. автомобиль ресталинговый, с радиатором охлаждения вариатора! никаких сюрпризов с перегревом и прочих прелестей предыдущих поколений. за время владения ухаживал и обслуживал авто только у официального дилера митсубиси в соответсвии с техническим регламентом. замена масла каждые 7500 км, а не 15000 км, как многие делают. пробег только 70000 км!!! дополнительно сделана шумоизоляция, установлен gps модуль для сигнализации starline a93. удобное управление автозапуском с мобильного приложения. поверки авто только у официалов(евразия-моторс). автосалонам не беспокоить!  своевременное обслуживание. пройдены все то. куплена не в кредит. непрокуренный салон. сервисная книжка. не участвовала в дтп.",полный,71 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,1 280 000 ₽,,,5 лет и 4 месяца,,
